,사용자발화,엔진결과_module,엔진결과_intent_id,엔진결과_intent_title,엔진결과_confidence
1432,버스 운행시간 미준수    너무  불편합니다.    운행시간을  1시간  또는 30분이상  다르게  운행하는     16번 버스를 신고합니다,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1433,코로나신고,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.9999999999999998
1434,마트 입구에서 발열체크기나 Qr체크 여론도 체크하는게잇어야 정상아닌가요?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1435,사진첨부,DialogAdapter,IT1610011153358001,신고 사진 선택 불가 문의,0.816496580927726
1436,주정차 위반 신고를 했는데,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0000000000000002
1437,코로나 신고 포상금,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.6666666666666669
1438,코로나19신고시 익명이 보장되나요?,DialogAdapter,IT1610012062520001,익명보장 확인,0.7071067811865475
1439,숙박업소에 QR체크나 안심콜없이 체크인을할수가있나요?,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",1.0000000000000002
1440,신고한거나 처리해주세요 !.! 아직까지 처리 안되었습니다,DialogAdapter,IT-0154,신고 처리 결과 불만족,0.9999999999999999
1441,연휴동안 대구 중구 관덕정길77번지 신남산장탕  제대로 단속하세요 여전히 화장실에서 담배 피우고 명부작성은 안하고 열체크도 안하며 출입합니다 남탕에는 아예 아무것도 안 하고 있습니다 식사도 여전히 이루어지고있는 상태입니다 문제 인 남산탕 걱정입니다 여탕에서 계란찜기에 쪄서 판매하고 눈속임 문제아닐까요?,DOUB API,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",1.0
1442,ㅡㅡ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1443,경남창원시 마산합포구 진동면 광암항은 주차장이 아님니다 국가어항내  물량장 으로 알고있습니다 어민들 사용하라고 만든 물량장이 캠핑장이  되면 안되겠죠?,DOUB API,IT-0126,야영장 안전 국민안전행동요령,1.0
1444,또 신고 하라고요?,DialogAdapter,IT-0020,신고 안내,1.0
1445,신고를 해도 아무런 조치가 안되면 신고할 사람이 있겠습니까,DialogAdapter,IT-0154,신고 처리 결과 불만족,0.8728715609439696
1446,https://www.safetyreport.go.kr/#/mypage/mysafereport/6809704,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1447,신고 하면 머합니까? 아무런 조치도 없는데,DialogAdapter,IT-0154,신고 처리 결과 불만족,1.0000000000000002
1448,마스크미착용 흡연,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",0.816496580927726
1449,길에서 담배피는 사람도 신고하나요?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1450,마스크 단속 강화,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",0.816496580927726
1451,정확한 답변 요구,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1452,마스크 미착용시 벌금은 얼마인지,DOUB API,IT1610007223559001,불법 주정차 과태료,1.0
1453,여기에 신고해도 되나요?,DialogAdapter,IT-0020,신고 안내,1.0
1454,어제 저녁부터 안전신문고 어플에서 신고하려고하는데 다 작성하고 제출을 누르면 그다음으로 넘어가지 않아요 어떻게하면 되나요?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1455,주차 신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
1456,불법주차 신고입니다,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0000000000000002
1457,집옆 공영주차장이 너무 지저분하고 더럽습니다,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,1.0
1458,도로 불법적 시 물이 뭐야,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,1.0
1459,도로 불법적 시 물이 뭐야,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,1.0
1460,전화,DialogAdapter,IT-0158,유선전화 신고 문의,0.7071067811865475
1461,정례 브리핑,DialogAdapter,IT-0225,코로나 뉴스 안내,0.816496580927726
1462,무더위쉼터,DialogAdapter,IT-0038,폭염 국민안전행동요령,0.7071067811865475
1463,관련영상,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1464,경찰청 실종아동찾기 센터,DialogAdapter,IT-0113,어린이 실종 유괴 예방 국민안전행동요령,1.0
1465,생활안전지도,DialogAdapter,IT-0084,생활안전 국민안전행동요령,0.9999999999999998
1466,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1467,앱실헹,DialogAdapter,IT1624933997476001,앱 웹 실행,0.9999999999999998
1468,애뵤ㅣㄹ행,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1469,일반 사진으로 신고,DialogAdapter,IT1610006675435001,일반 갤러리 사진으로 불법주정차 신고,0.9999999999999998
1470,일반 사진으류 신고 하고 싶어요,DialogAdapter,IT1610006675435001,일반 갤러리 사진으로 불법주정차 신고,1.0
1471,불법주정차 신고는 시간이 정해져있나요?,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.8660254037844388
1472,신고가능 시간,DialogAdapter,IT-0020,신고 안내,0.816496580927726
1473,주정차위반 신고 시간,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.8660254037844388
1474,유치원앞 어린이보호구역은 안되나요?,DialogAdapter,IT1607321104145001,어린이보호구역 불법주정차 신고 안내,0.7071067811865475
1475,어린이보호구역신고는 초등학교앞만인가요?,DialogAdapter,IT1607321104145001,어린이보호구역 불법주정차 신고 안내,0.6123724356957946
1476,어떻게 신고하면되나요?,DialogAdapter,IT-0020,신고 안내,1.0
1477,성주호,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1478,안녕하세요,DialogAdapter,IT-0018,환영인사,1.0
1479,네 신고위치는 파주시 후곡로77  106동 3-4호 라인 앞 주차라인 이고 장애인 주차라인 대수는 3대입니다,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
1480,백신 언제 맞을 수 있어?,DialogAdapter,IT-0242,코로나19 치료법 문의,1.0
1481,이시간에 아이들이담배피면서 시끄럽게  뭘부수고 갔습니다 교복입은아이들같은데,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1482,제가 신고했고 처리되었다는 결과 통보를 받았는데 아는바로는 신고포상금이 있다던데,DialogAdapter,IT-0154,신고 처리 결과 불만족,0.816496580927726
1483,피해없이 처리만 잘되면  좋은거죠 그래도 신경써주시는 맞는지모르겠자만 태풍이온다해서  걱정하던차에 좋은소식이네요  고맙습니다  오늘도 그곳주의에  상인들과  버섯을사려는  사람들이 많이다니디보니 더 간판소리가 신경쓰이더라구요 우리건물이 집합건물 맞나요  안니라고 관리단이 있어도  회계감사 한번받을 의무없고 해서  저희는 관리비내역을  상세히본적이 없는데  이도  알아봐야겠네요  건물이 완전 페허수준이라서요,DOUB API,IT-0036,태풍 호우 국민안전행동요령,1.0
1484,가로등 불량신고,DialogAdapter,IT1607320061875001,도로·시설물 파손 및 고장 신고 안내,1.0000000000000002
1485,신고대상 사진 없으면 신고 못해?,DialogAdapter,IT1610006675435001,일반 갤러리 사진으로 불법주정차 신고,0.7745966692414834
1486,홍수,DialogAdapter,IT-0036,태풍 호우 국민안전행동요령,1.0
1487,화재,DialogAdapter,IT-0059,화재 국민안전행동요령,1.0
1488,산사태,DialogAdapter,IT-0047,산사태 국민안전행동요령,1.0
1489,신고,DialogAdapter,IT-0020,신고 안내,1.0
1490,쓰레기 무단 투기,DialogAdapter,IT1607320222804001,쓰레기·폐기물·유독물 신고 안내,0.816496580927726
1491,신고했는데 해다 업소에 벌금 부과는 안되나요?,DialogAdapter,IT-0153,신고 처리 관련 문의,1.0
1492,카톡으로,DialogAdapter,IT1633660356212001,타채널 이용 문의,1.0
1493,신고내용에 대한 답변을 카톡으로 보내주세요,DialogAdapter,IT-0153,신고 처리 관련 문의,0.8660254037844388
1494,공사 소음으로 고통받고있습니다,DialogAdapter,IT1607320172233001,"건설, (해체)공사장 위험",1.0
1495,거지같네,DialogAdapter,IT1620799745019001,응답 불만족,1.0
1496,빨리 알려줘,DialogAdapter,IT-0179,도움말 요청,0.9999999999999998
1497,영상편집 방법 알려줘 넘 커서 등록할 수가 없다네,DialogAdapter,IT1631171040719001,동영상 첨부 용량 제한,1.0
1498,뭐해,DialogAdapter,IT-0179,도움말 요청,1.0
1499,시리야,DialogAdapter,IT1633660356212001,타채널 이용 문의,1.0
1500,안녕,DialogAdapter,IT-0018,환영인사,1.0
1501,안녕,DialogAdapter,IT-0018,환영인사,1.0
1502,방역수칙위반,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,1.0000000000000002
1503,황색선 불법주정차,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.7071067811865475
1504,황색,DialogAdapter,IT1636677832720001,도로주정차선 안내,0.7071067811865475
1505,황색선,DialogAdapter,IT1636677832720001,도로주정차선 안내,0.9999999999999998
1506,요청사항 읽고 조치바랍니다,DialogAdapter,IT-0153,신고 처리 관련 문의,1.0
1507,신고사실,DialogAdapter,IT-0020,신고 안내,0.7071067811865475
1508,허위신고,DialogAdapter,IT-0020,신고 안내,0.7071067811865475
1509,흡연,DialogAdapter,IT1606892768439001,생활불편신고 유형 안내,1.0
1510,금연 아파트 단지내 흡연은 어떻게 처리되나요?,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1511,지난번에 같은장소에 불법주차 되어있단 차량은 과태료 처리했다면서 이번에 처리되지 않는 이유가 뭘까요,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
1512,도마시장 보령당약국앞  밤판매하는분 때문에 통행에  너무 불편합니다   횡단보도 한쪽을 점거하고  장사를 하고 계십니다  장사하는것은 괜찬으나 통행에 불편하게는 하지  않았으면 합니다,DOUB API,IT-0041,한파 국민안전행동요령,1.0
1513,마일리지요,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,1.0
1514,마일리지,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,1.0
1515,마일리지,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,1.0
1516,마일ㄹ리지,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,1.0
1517,마일리지,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,1.0
1518,마일리지 문의,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,0.9999999999999998
1519,마일리지 문의,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,0.9999999999999998
1520,1 2 3 사월역 주 말고,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1521,1 2 3,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1522,1 2 3 목욕,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1523,1 2 3,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1524,1 2 3,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1525,의견제출,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1526,인도위주정차위반,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.8660254037844388
1527,주정차금지구역,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.8660254037844388
1528,어린이보호구역,DialogAdapter,IT1607321104145001,어린이보호구역 불법주정차 신고 안내,1.0
1529,11. 왜인지  12. 육하원칙 누가  언제  어디서  무엇을  어떻게  왜? 인지  납득되게구체적으로,DOUB API,IT1631086105335001,불법 주정차 신고 사진 1분 간격,1.0
1530,10. 협업안되면   왜? 공공기관이고  주권자대다수대리한 공공기관 대통령령으로 정한 방범 즉  예방에 대한 의무  책임지지않는건지 못하는건지?,DOUB API,IT1631086105335001,불법 주정차 신고 사진 1분 간격,1.0
1531,개인  주권진 국군통수권자  절대다수의 주권자이자 거주민  아동보호자로써  절대주정차금지구역 에  정차한 아동보호차량 6. 신고가 왜? 7. 국민안전신문고 앱 이용한 촬영아니라서 해소안되는지? 8. 민관군 및 방재청 CCTV왜 협업안하는지? 9. 공공기관으로서  9-1. 보건복지부  9-2. 행정안전부   9-3. 국토교통부  9-4. 경찰청  9-5. 공공기관(이천경찰서),DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
1532,CCTV구역에서,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1533,1. 해당구역거주인 2. 해당구역거주민의 아이들 등원  등교(초중고)  직장인출근길 3. 횡단보도 4. 초록색 주행신호등 5. 방범 5-1.1. 범죄가 생기지 않도록 미리 막음. 방범 대책.  예문 열기 2. 방범대에 속하여 도둑질  강도 따위의 범죄를 막는 일을 하는 대원. 방범 둘이서 도둑을 잡았다.  예문 열기,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1534,에   절대주정차금지구역 대통령령으로 절대주권자대리인으로서  민주주의 대다수의 의견,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1535,3. 구역 3-1. 1. 갈라놓은 지역. 출입 금지 구역.  예문 열기 2. 기독교 한 교회의 신자들을 지역에 따라 일정 수로 나누어 놓은 단위.,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1536,2. 주정차 금지 2-1.  법이나 규칙이나 명령 따위로 어떤 행위를 하지 못하도록 함. 통행 금지.,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
1537,왜? 1. 절대 사전적 어학적의 미 명사 1-1 ((주로 일부 명사 앞에 쓰여)) 아무런 조건이나 제약이 붙지 아니함. 절대 자유.  예문 열기 1-2. ((주로 일부 명사 앞에 쓰여)) 비교되거나 맞설 만한 것이 없음. 절대 권력.  1-3. 어떤 대상과 비교하지 아니하고 그 자체만으로 존재함. 절대 진리.  1-4. 철학 스스로 존재하면서 그 자신만으로 완전한 것. 신  실체  절대정신 따위를 이른다.,DOUB API,IT1631086105335001,불법 주정차 신고 사진 1분 간격,1.0
1538,안전벨트미착용,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.9999999999999998
1539,장애우 구역 주차방해,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,0.8660254037844388
1540,장애우구역 신고,DialogAdapter,IT1607321112433001,장애인 전용구역 불법주정차 신고 안내,0.8660254037844388
1541,SPP-2109-0914499 이 신고는 주정차금지 견인지역 펫말이 있는 곳에 주차한 차를 신고한 건데 불수용이라니 이의제기합니다,DialogAdapter,IT-REPORTNUM,신고번호 메시지,1.0
1542,안녕,DialogAdapter,IT-0018,환영인사,1.0
1543,ㄹ러ㅓ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1544,신고,DialogAdapter,IT-0020,신고 안내,1.0
1545,1 2 3 4 5 7 8 9 10,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1546,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1547,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1548,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1549,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1550,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1551,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1552,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1553,앱 실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1554,마일리지 문의,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,0.9999999999999998
1555,나의 마일리지,DialogAdapter,IT-0200,나의 마일리지 확인,1.0
1556,마일리지 문의,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,0.9999999999999998
1557,코로나 백신 접종 신고,DialogAdapter,IT-0242,코로나19 치료법 문의,0.7071067811865475
1558,백신 오접종 신고방법,DialogAdapter,IT-0242,코로나19 치료법 문의,0.6324555320336758
1559,여기서는 신고가 안되나요?,DialogAdapter,IT-0020,신고 안내,1.0
1560,답이 어뚱답으로왔너요 제대로답을주세요,DialogAdapter,IT1620799745019001,응답 불만족,1.0
1561,상가주택공사 소음땜에 톡남깁니다,DialogAdapter,IT1607320172233001,"건설, (해체)공사장 위험",1.0
1562,오늘 날씨,DailyDialogAdapter,IT1618298298301001,날씨,0.9999999999999998
1563,코로너,DialogAdapter,IT-0029,코로나19,1.0
1564,코로나 신ㄱㅎ,DOUB API,IT-0029,코로나19,1.0
1565,상담원,DialogAdapter,IT-0221,안신앱 운영센터 전화 연결,0.7071067811865475
1566,차량번호 잘못됨,DialogAdapter,IT1607320239691001,교통위반 신고 안내,0.9999999999999998
1567,ㅅ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1568,불법주정차신고하려는데 사진식별가능한가요,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.8164965809277261
1569,상담원과통화하고싶어요,DOUB API,IT-0221,안신앱 운영센터 전화 연결,1.0
1570,아니요,DialogAdapter,IT1632897711145001,네,1.0
1571,어린이보호구역내 불법주정차 신고하려고합니다. 제가 촬영한 날을 차량블랙박스로 확인하면 신분노출의 위험이 있는데 좋은방법알려주세요,DOUB API,IT1607321104145001,어린이보호구역 불법주정차 신고 안내,1.0
1572,앱음성,DialogAdapter,IT1610008602453001,앱 음성 안내 문의,0.9999999999999998
1573,왜 1분 간격으로 찍지,DialogAdapter,IT1631086105335001,불법 주정차 신고 사진 1분 간격,0.7071067811865475
1574,불법주정차 촬영 너무 어려움,DialogAdapter,IT1610007279725001,불법 주정차 사진 촬영 어려움,0.75
1575,공사소음,DialogAdapter,IT1620715040970001,비긴급 신고,0.816496580927726
1576,신고결과,DialogAdapter,IT-0153,신고 처리 관련 문의,0.816496580927726
1577,거리두기 신고,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",1.0000000000000002
1578,코로나문제로 마스크턱스크로쓴사랑신햏했는데아무런 조치가안이뤄졌네요 그사람은계속 턱스크로버스를계속타고다녀요,DOUB API,IT-0029,코로나19,1.0
1579,불법주차,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,1.0
1580,사람다니는인도에 고철방치되있는데어떻게하나요?,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,0.9999999999999999
1581,역시나 ㅋㅋㅋ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1582,거리두기단계위반신고합니다,DialogAdapter,IT1607322793809001,밀폐·밀집·밀접이 일어난 경우 신고 안내,0.7071067811865475
1583,불법주차 나의신고에 들어가도 안나오네요,DOUB API,IT1607320483954001,불법주정차 신고 유형 안내,1.0
1584,점거,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,1.0
1585,주차구역,DialogAdapter,IT1607321117030001,기타 불법주정차 신고 안내,0.8660254037844388
1586,주차방해,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.7071067811865475
1587,불법적치물,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,1.0000000000000002
1588,전날사진은 신고 안되나요?,DialogAdapter,IT-0192,신고 촬영 방법 안내,0.96
1589,어제 불법주차는 신고 못하나요?,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.816496580927726
1590,제주도 서귀포사 흙담솔로20 신생훼밀리 나동 현관들어서면 몇일째 가스냄새가 나는데 관리실에서는 전혀안난다고하네요 어떻게하면 좋을까요,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1591,9월 2일에 신고했는데 일주일뒤에 방문하여 문제가 없다고 하면 이게 신고하는 이유가 있나요 ?,DOUB API,IT1631086105335001,불법 주정차 신고 사진 1분 간격,1.0
1592,9월 2일 불법 수산물노점 행위를 신고했는데,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1593,횡단보도 불법주정차간격,DialogAdapter,IT1607321097021001,횡단보도 불법주정차 신고 안내,0.8660254037844388
1594,횡단보도 불법주정차,DialogAdapter,IT1607321097021001,횡단보도 불법주정차 신고 안내,1.0
1595,신고,DialogAdapter,IT-0020,신고 안내,1.0
1596,코로나 노마스크 신고,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",0.8660254037844388
1597,위치가 안잡혀요,DialogAdapter,IT-0160,GPS 작동 오류,1.0
1598,거리두시 신고,DialogAdapter,IT1607322793809001,밀폐·밀집·밀접이 일어난 경우 신고 안내,0.6666666666666669
1599,캠핑갈때 주의 사항,DialogAdapter,IT-0126,야영장 안전 국민안전행동요령,0.6708203932499369
1600,위치 작동 안돼,DialogAdapter,IT-0160,GPS 작동 오류,0.9999999999999998
1601,위치 작동 안돼,DialogAdapter,IT-0160,GPS 작동 오류,0.9999999999999998
1602,배고파,DailyDialogAdapter,IT1603680693244001,배고픔,1.0
1603,통화 가능합니까,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1604,안전신문고에 민원을 신청했는데 검색 자료가 없습니다,DialogAdapter,IT-0217,자료실 보기,0.98
1605,ㄷㄷㄷㄷ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1606,전에 신고한 내역은 차량이 아니고,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1607,빈기워,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1608,3인이상 집합 신고,DialogAdapter,IT1607321124767001,집합금지 조치를 위반한 영업·모임 신고 안내,0.6
1609,LH 임대아파트 문제,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1610,행정처리불만,DialogAdapter,IT-0154,신고 처리 결과 불만족,0.6666666666666669
1611,불법주정차 계도,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.816496580927726
1612,ㅎㅎ,FallbackAdapter,IT-FALLBACK,폴백 메시지,1.0
1613,앱 실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1614,앱 실핼,DialogAdapter,IT1624933997476001,앱 웹 실행,0.816496580927726
1615,앱 실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1616,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1617,앱실핼,DialogAdapter,IT1624933997476001,앱 웹 실행,0.816496580927726
1618,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1619,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1620,앱실행ㄹ,DialogAdapter,IT1624933997476001,앱 웹 실행,0.9999999999999998
1621,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1622,안전신문고가 뭐야,DialogAdapter,IT-0023,안전신문고 소개,0.94
1623,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1624,주장차신고,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.6666666666666669
1625,앱 실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1626,사진 저장 폴더,DialogAdapter,IT1610009003065001,앱내 사진 촬영시 사진 저장 오류,0.6666666666666669
1627,안전신문고에서 찍은 사진의 저장 폴더 경로 안내 부탁드립니다 삼성갤럭시s8 기종입니다,DOUB API,IT-0023,안전신문고 소개,1.0
1628,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1629,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1630,턱스크 신고 가능?,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",1.0000000000000002
1631,신고 방법,DialogAdapter,IT1620715040970001,비긴급 신고,0.816496580927726
1632,앱 실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1633,부정식품,DialogAdapter,IT1607320479310001,기타 생활불편 신고 안내,1.0
1634,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1635,왜 당일 촬영한 것만 되나요?,DialogAdapter,IT1631089465197001,불법주정차 신고 당일 신고만 가능,0.96
1636,앱 실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1637,앱 실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1638,코로나 노래방 신고했는데 포상금 같은건 없는건가요?검색해보니 대전은 최대100만원까지 나온다고 한거 같은데,DOUB API,IT1607321122687001,코로나19 신고 유형 안내,1.0
1639,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1640,앱실행하기,DialogAdapter,IT1624933997476001,앱 웹 실행,0.9999999999999998
1641,앱실행 할래,DialogAdapter,IT1624933997476001,앱 웹 실행,0.9999999999999998
1642,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1643,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1644,불법 주정차 신고하면 실제 과태료 부과 되나요?,DialogAdapter,IT1610006846835001,불법 주정차 과태료 부과 여부 문의,0.95
1645,임시번호판,DialogAdapter,IT1607320239691001,교통위반 신고 안내,1.0
1646,임시번호판 날짜초과 신고,DialogAdapter,IT1607320239691001,교통위반 신고 안내,1.0
1647,서울 구로구 가리봉동 773-4 나리호프 10시가지나도 내부 불꺼놓고 술집영업중  마스크도 안쓰는듯합니다 신고합니다,DOUB API,IT1620290343011001,긴급 신고,1.0
1648,앨범에서 사진 업로드는 못하나요,DialogAdapter,IT1610006675435001,일반 갤러리 사진으로 불법주정차 신고,1.0
1649,방역수칙 위반,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,1.0000000000000002
1650,마스크미착용신고,DialogAdapter,IT1607322805559001,"출입자 관리 위반, 마스크 미착용 신고 안내",1.0
1651,안전신고도우미 너는 어떤일을 할수 있어?,DialogAdapter,IT-0179,도움말 요청,0.97
1652,이해가 안돼,DialogAdapter,IT1620799745019001,응답 불만족,1.0
1653,응답이 마음에 안들어,DialogAdapter,IT1620799745019001,응답 불만족,1.0
1654,응답이 마음에 안드는데~,DialogAdapter,IT1620799745019001,응답 불만족,0.95
1655,식당관련 코로나위반신고,DialogAdapter,IT1607321122687001,코로나19 신고 유형 안내,0.6
1656,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1657,답변이 부적절,DialogAdapter,IT1620799745019001,응답 불만족,1.0
1658,제대로 좀 해봐,DailyDialogAdapter,IT1603702603033001,응원,0.75
1659,너 모르는게 참 많다,DialogAdapter,IT1620799745019001,응답 불만족,1.0
1660,사랑해,DailyDialogAdapter,IT1603680369734001,사랑해,0.9999999999999998
1661,불법 주정차 신고 마일리지,DialogAdapter,IT1607320483954001,불법주정차 신고 유형 안내,0.8660254037844388
1662,포상,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,1.0
1663,지진나면 어디로 대피해?,DialogAdapter,IT-0137,비상대비 국민안전행동요령,0.7071067811865475
1664,길을 잃었을 떄,DialogAdapter,IT-0105,산행 안전 국민안전행동요령,0.7071067811865475
1665,신고 상황 대응?,DialogAdapter,IT-0115,교통사고 국민안전행동요령,0.6666666666666669
1666,바닥에 광고물 붙어있는 거 신고 어떻게 함,DialogAdapter,IT1606898609134001,불법광고물 신고 안내,0.6666666666666669
1667,할로,DialogAdapter,IT-0018,환영인사,1.0
1668,안녕하세요,DialogAdapter,IT-0018,환영인사,1.0
1669,정전 신고,DialogAdapter,IT1606898609134001,불법광고물 신고 안내,0.7071067811865475
1670,정전 됨,DialogAdapter,IT-0072,전기 사고 국민안전행동요령,1.0
1671,정전 신고,DialogAdapter,IT1606898609134001,불법광고물 신고 안내,0.7071067811865475
1672,정전신고,DialogAdapter,IT1606898609134001,불법광고물 신고 안내,0.7071067811865475
1673,포상금,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,1.0
1674,포상금 받는법,DialogAdapter,IT1610011710928001,마일리지 및 포상제도 문의,0.7071067811865475
1675,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1676,앱실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
1677,앱 실행,DialogAdapter,IT1624933997476001,앱 웹 실행,1.0
